id,lng,lat,total_2019,total_2013,difference
2005,121.4557684,31.34970766,0.703525617,0.454708288,0.248817329
2006,121.4552712,31.34954035,0.572582434,0.494254564,0.07832787
2007,121.4547843,31.34935012,0.67433457,0.540882806,0.133451764
2008,121.4542897,31.34917627,0.721389707,0.564949459,0.156440248
2009,121.4537986,31.34900277,0.726887145,0.585150975,0.14173617
2010,121.4533034,31.34884392,0.432270433,0.405868722,0.026401711
2011,121.452817,31.34865241,0.471025568,0.391823596,0.079201972
2012,121.4523306,31.34846907,0.477243587,0.527046758,-0.049803171
2013,121.4518367,31.34830132,0.39558873,0.434557758,-0.038969028
2014,121.4513402,31.34813268,0.477021982,0.479028364,-0.002006382
2015,121.450844,31.34796293,0.36540041,0.386211647,-0.020811237
2016,121.4503354,31.34783927,0.334709925,0.280933575,0.05377635
2018,121.4493559,31.34747406,0.383387683,0.372546318,0.010841365
2019,121.4579671,31.35000516,0.525891975,0.417736432,0.108155543
2020,121.4581705,31.34952331,0.517007361,0.427939634,0.089067727
2021,121.4583662,31.34903753,0.528428423,0.426666974,0.101761449
2022,121.4585608,31.34855064,0.535640162,0.460595622,0.07504454
2023,121.4587578,31.34806485,0.479404616,0.401798077,0.077606539
2024,121.4589717,31.34758562,0.413539495,0.32271013,0.090829365
2025,121.4591785,31.34710285,0.387869396,0.318672363,0.069197033
2026,121.459372,31.34661502,0.429253051,0.317589678,0.111663373
2027,121.459569,31.34612884,0.475746072,0.375649131,0.100096941
2028,121.4597636,31.34564071,0.428575534,0.356393523,0.072182011
2029,121.4599712,31.34515791,0.439971996,0.3770741,0.062897896
